date,AdrActCnt
2023-02-13 00:00:00+00:00,957593.0
2023-02-14 00:00:00+00:00,913570.0
2023-02-15 00:00:00+00:00,993456.0
2023-02-16 00:00:00+00:00,1118226.0
2023-02-17 00:00:00+00:00,1050009.0
2023-02-18 00:00:00+00:00,1046593.0
2023-02-19 00:00:00+00:00,928713.0
2023-02-20 00:00:00+00:00,908106.0
2023-02-21 00:00:00+00:00,1012926.0
2023-02-22 00:00:00+00:00,931144.0
2023-02-23 00:00:00+00:00,1071298.0
2023-02-24 00:00:00+00:00,964247.0
2023-02-25 00:00:00+00:00,811239.0
2023-02-26 00:00:00+00:00,905055.0
2023-02-27 00:00:00+00:00,982682.0
2023-02-28 00:00:00+00:00,983627.0
2023-03-01 00:00:00+00:00,1076257.0
2023-03-02 00:00:00+00:00,939444.0
2023-03-03 00:00:00+00:00,1086253.0
2023-03-04 00:00:00+00:00,905589.0
2023-03-05 00:00:00+00:00,995537.0
2023-03-06 00:00:00+00:00,931807.0
2023-03-07 00:00:00+00:00,1063023.0
2023-03-08 00:00:00+00:00,885079.0
2023-03-09 00:00:00+00:00,929904.0
2023-03-10 00:00:00+00:00,979055.0
2023-03-11 00:00:00+00:00,982511.0
2023-03-12 00:00:00+00:00,886609.0
2023-03-13 00:00:00+00:00,999918.0
2023-03-14 00:00:00+00:00,1024780.0
2023-03-15 00:00:00+00:00,1006730.0
2023-03-16 00:00:00+00:00,879957.0
2023-03-17 00:00:00+00:00,1085422.0
2023-03-18 00:00:00+00:00,955447.0
2023-03-19 00:00:00+00:00,845573.0
2023-03-20 00:00:00+00:00,1014355.0
2023-03-21 00:00:00+00:00,990544.0
2023-03-22 00:00:00+00:00,940276.0
2023-03-23 00:00:00+00:00,902932.0
2023-03-24 00:00:00+00:00,893101.0
2023-03-25 00:00:00+00:00,898042.0
2023-03-26 00:00:00+00:00,851151.0
2023-03-27 00:00:00+00:00,1057595.0
2023-03-28 00:00:00+00:00,982699.0
2023-03-29 00:00:00+00:00,977852.0
2023-03-30 00:00:00+00:00,1021839.0
2023-03-31 00:00:00+00:00,1043754.0
2023-04-01 00:00:00+00:00,1038858.0
2023-04-02 00:00:00+00:00,1012005.0
2023-04-03 00:00:00+00:00,985157.0
2023-04-04 00:00:00+00:00,1108155.0
2023-04-05 00:00:00+00:00,964688.0
2023-04-06 00:00:00+00:00,1022873.0
2023-04-07 00:00:00+00:00,956362.0
2023-04-08 00:00:00+00:00,885739.0
2023-04-09 00:00:00+00:00,936112.0
2023-04-10 00:00:00+00:00,947327.0
2023-04-11 00:00:00+00:00,1146146.0
2023-04-12 00:00:00+00:00,1056542.0
2023-04-13 00:00:00+00:00,1009669.0
2023-04-14 00:00:00+00:00,1016042.0
2023-04-15 00:00:00+00:00,1045660.0
2023-04-16 00:00:00+00:00,840992.0
2023-04-17 00:00:00+00:00,984242.0
2023-04-18 00:00:00+00:00,1149264.0
2023-04-19 00:00:00+00:00,985732.0
2023-04-20 00:00:00+00:00,951443.0
2023-04-21 00:00:00+00:00,1015546.0
2023-04-22 00:00:00+00:00,914896.0
2023-04-23 00:00:00+00:00,840711.0
2023-04-24 00:00:00+00:00,998948.0
2023-04-25 00:00:00+00:00,895988.0
2023-04-26 00:00:00+00:00,893248.0
2023-04-27 00:00:00+00:00,892914.0
2023-04-28 00:00:00+00:00,957827.0
2023-04-29 00:00:00+00:00,803633.0
2023-04-30 00:00:00+00:00,767567.0
2023-05-01 00:00:00+00:00,929691.0
2023-05-02 00:00:00+00:00,820724.0
2023-05-03 00:00:00+00:00,953701.0
2023-05-04 00:00:00+00:00,914598.0
2023-05-05 00:00:00+00:00,822037.0
2023-05-06 00:00:00+00:00,764917.0
2023-05-07 00:00:00+00:00,549932.0
2023-05-08 00:00:00+00:00,696710.0
2023-05-09 00:00:00+00:00,772112.0
2023-05-10 00:00:00+00:00,891517.0
2023-05-11 00:00:00+00:00,831417.0
2023-05-12 00:00:00+00:00,809188.0
2023-05-13 00:00:00+00:00,705679.0
2023-05-14 00:00:00+00:00,835319.0
2023-05-15 00:00:00+00:00,817441.0
2023-05-16 00:00:00+00:00,814467.0
2023-05-17 00:00:00+00:00,841652.0
2023-05-18 00:00:00+00:00,814709.0
2023-05-19 00:00:00+00:00,904374.0
2023-05-20 00:00:00+00:00,719434.0
