date,BTC,ETH,BNB,SOL,XRP,DOGE,ADA,TRX,HYPE,LINK
2023-04-27,29473.3,1908.4,330.75,22.328,0.46658,0.08012,0.40996,0.06576,,7.171
2023-04-28,29310.1,1890.91,324.22,23.346,0.47952,0.08032,0.40434,0.06666,,7.039
2023-04-29,29228.9,1907.81,321.93,23.184,0.478,0.08155,0.40251,0.06799,,7.186
2023-04-30,29239.8,1869.67,337.16,22.734,0.47042,0.07949,0.39552,0.06715,,7.022
2023-05-01,28073.1,1830.43,328.42,21.961,0.46485,0.07883,0.38665,0.06855,,6.899
2023-05-02,28666.0,1869.75,321.74,22.251,0.46449,0.07875,0.3917,0.06922,,6.985
2023-05-03,29033.8,1905.0,325.85,22.228,0.46327,0.07962,0.394,0.06927,,7.13
2023-05-04,28842.0,1877.36,323.79,21.731,0.46086,0.07839,0.38734,0.0694,,6.997
2023-05-05,29507.8,1993.19,326.56,22.815,0.46694,0.08017,0.39425,0.07092,,7.228
2023-05-06,28848.4,1896.16,321.96,21.919,0.45824,0.07674,0.37891,0.07022,,6.922
2023-05-07,28425.2,1869.99,320.81,21.656,0.44913,0.07651,0.37602,0.06921,,6.907
2023-05-08,27666.1,1847.28,313.68,20.64,0.42827,0.0724,0.36534,0.06849,,6.582
2023-05-09,27629.0,1846.73,312.23,20.665,0.4287,0.07312,0.36334,0.06907,,6.52
2023-05-10,27598.8,1841.1,314.47,20.928,0.43015,0.07315,0.36938,0.06937,,6.589
2023-05-11,26968.0,1794.38,307.64,20.176,0.42063,0.07193,0.35986,0.0677,,6.36
2023-05-12,26794.0,1807.37,308.55,20.906,0.43044,0.07235,0.37031,0.06908,,6.621
2023-05-13,26770.9,1795.2,310.83,20.842,0.42408,0.07166,0.36451,0.06934,,6.489
2023-05-14,26915.7,1799.15,312.1,20.943,0.42532,0.07198,0.37094,0.0694,,6.546
2023-05-15,27164.6,1816.21,313.51,20.99,0.42719,0.07191,0.36682,0.07028,,6.637
2023-05-16,27034.0,1824.3,311.3,20.669,0.44249,0.07273,0.36816,0.07053,,6.658
2023-05-17,27405.3,1822.29,314.34,21.048,0.44843,0.07482,0.37566,0.07119,,6.755
2023-05-18,26818.6,1800.75,309.0,20.345,0.4595,0.07345,0.37142,0.07017,,6.531
2023-05-19,26885.3,1812.4,308.97,20.358,0.46739,0.0735,0.36799,0.07069,,6.508
2023-05-20,27104.6,1819.46,310.73,20.277,0.46848,0.07363,0.36621,0.07258,,6.504
2023-05-21,26745.6,1805.0,306.45,19.612,0.45752,0.07212,0.36026,0.07505,,6.43
2023-05-22,26847.6,1817.43,309.15,19.522,0.46168,0.0729,0.3679,0.07798,,6.531
2023-05-23,27225.4,1854.16,313.49,20.026,0.46509,0.07286,0.37035,0.07848,,6.505
2023-05-24,26327.8,1800.01,305.94,19.208,0.45301,0.07065,0.36403,0.07688,,6.319
2023-05-25,26472.8,1805.44,304.71,19.256,0.45386,0.07089,0.3581,0.07677,,6.279
2023-05-26,26704.3,1827.39,306.8,19.355,0.46835,0.07098,0.36259,0.0754,,6.345
2023-05-27,26855.4,1829.7,307.56,20.421,0.47158,0.07256,0.36676,0.07716,,6.438
2023-05-28,28069.2,1909.29,314.32,20.803,0.48212,0.07354,0.38273,0.07743,,6.633
2023-05-29,27737.4,1892.64,311.79,20.575,0.49438,0.07312,0.37877,0.07613,,6.641
2023-05-30,27696.3,1901.05,311.42,21.249,0.52065,0.0723,0.37779,0.0764,,6.614
2023-05-31,27210.0,1873.51,306.74,20.821,0.5168,0.07166,0.3742,0.07525,,6.485
2023-06-01,26818.2,1861.6,304.99,20.498,0.50648,0.07143,0.36438,0.07476,,6.343
2023-06-02,27241.5,1906.34,307.31,21.253,0.52448,0.07257,0.37814,0.08262,,6.453
2023-06-03,27069.2,1892.1,306.63,21.185,0.51884,0.07269,0.37602,0.08178,,6.423
2023-06-04,27118.1,1889.76,305.15,21.822,0.53578,0.07248,0.37742,0.0814,,6.452
2023-06-05,25727.8,1810.31,276.96,20.007,0.50893,0.06645,0.35135,0.07835,,6.054
2023-06-06,27234.9,1883.96,281.06,20.382,0.52985,0.07025,0.35302,0.07821,,6.261
2023-06-07,26340.2,1832.12,259.23,18.638,0.51822,0.06727,0.32211,0.07675,,5.919
2023-06-08,26500.8,1845.89,261.97,18.883,0.52365,0.06796,0.32275,0.07741,,5.995
2023-06-09,26482.9,1840.75,260.65,17.39,0.53788,0.06947,0.29499,0.072,,5.993
2023-06-10,25839.6,1751.59,238.81,15.617,0.50669,0.06176,0.27483,0.06961,,5.231
2023-06-11,25929.2,1752.82,235.25,15.544,0.52086,0.0615,0.27193,0.07026,,5.177
2023-06-12,25904.7,1742.58,231.34,15.186,0.52496,0.06143,0.27486,0.07117,,5.16
2023-06-13,25938.1,1740.27,244.21,15.041,0.51914,0.06176,0.27509,0.07192,,5.3
2023-06-14,25129.1,1651.08,237.84,14.487,0.48005,0.06038,0.26332,0.07102,,5.25
2023-06-15,25597.5,1666.5,236.41,14.774,0.48003,0.06154,0.26194,0.07099,,5.313
2023-06-16,26345.8,1717.7,239.35,15.317,0.47571,0.06219,0.26318,0.07054,,5.32
2023-06-17,26515.5,1727.67,244.56,15.645,0.47942,0.06219,0.26671,0.07166,,5.282
2023-06-18,26345.5,1721.14,244.18,15.441,0.4869,0.0621,0.26091,0.07016,,5.157
2023-06-19,26845.1,1736.93,243.04,16.109,0.4933,0.06244,0.26334,0.07,,5.133
2023-06-20,28303.3,1791.94,247.91,16.643,0.49278,0.06315,0.27049,0.07058,,5.267
2023-06-21,29998.1,1889.26,248.94,17.24,0.50023,0.06562,0.28614,0.07232,,5.559
2023-06-22,29888.0,1871.99,240.85,16.634,0.49384,0.06555,0.28997,0.07227,,5.558
2023-06-23,30690.2,1892.68,244.36,17.143,0.49598,0.06822,0.29661,0.07316,,6.07
2023-06-24,30530.0,1874.91,236.3,16.632,0.48656,0.06668,0.2893,0.07219,,6.138
2023-06-25,30467.5,1898.85,238.91,16.967,0.49037,0.06673,0.29205,0.07316,,6.159
2023-06-26,30267.6,1858.84,236.1,16.267,0.47903,0.06477,0.28052,0.07382,,6.056
2023-06-27,30692.9,1889.61,237.44,16.625,0.48378,0.06558,0.2865,0.07434,,6.202
2023-06-28,30073.0,1828.14,230.56,15.967,0.46485,0.06256,0.26681,0.07374,,5.811
2023-06-29,30453.5,1852.4,233.13,18.001,0.47463,0.06344,0.27526,0.07446,,5.893
2023-06-30,30475.5,1933.6,240.35,18.857,0.47302,0.06644,0.28679,0.07619,,6.308
2023-07-01,30588.1,1924.3,247.87,18.696,0.47318,0.06851,0.29239,0.07726,,6.506
2023-07-02,30615.6,1937.61,246.56,19.459,0.48453,0.068,0.29175,0.07604,,6.54
2023-07-03,31161.0,1955.54,246.44,19.273,0.48906,0.06844,0.29677,0.07732,,6.627
2023-07-04,30765.9,1935.96,242.32,19.142,0.48704,0.06891,0.29223,0.07701,,6.519
2023-07-05,30505.0,1910.28,238.93,18.992,0.47764,0.06698,0.284,0.07708,,6.3
2023-07-06,29893.0,1846.07,232.21,19.595,0.46222,0.06486,0.27852,0.07709,,6.079
2023-07-07,30344.8,1871.0,235.63,21.495,0.46862,0.06541,0.28449,0.07884,,6.155
2023-07-08,30286.3,1865.23,236.21,21.815,0.47043,0.06573,0.29058,0.08009,,6.199
2023-07-09,30162.8,1862.71,234.1,21.329,0.46808,0.06535,0.28446,0.07747,,6.15
2023-07-10,30414.2,1880.4,246.12,21.29,0.47782,0.06524,0.28788,0.07754,,6.168
2023-07-11,30622.0,1878.31,248.46,22.059,0.4752,0.06527,0.29281,0.07735,,6.208
2023-07-12,30381.5,1871.91,243.85,21.941,0.47101,0.06503,0.28905,0.07783,,6.25
